[sound:Nvidia_001.mp3]	Nvidia wasn't built overnight. It's taken us 33 years.
[sound:Nvidia_002.mp3]	The first idea about Nvidia is that we're a full stack company.
[sound:Nvidia_003.mp3]	The company's entire culture is designed to be full stack.
[sound:Nvidia_004.mp3]	Our goal is not the search. Our goal is to get answers.
[sound:Nvidia_005.mp3]	The last prompt was queries. This prompt are actions.
[sound:Nvidia_006.mp3]	Maximum bullish on tokens, maximum bullish on doing and creating.
[sound:Nvidia_007.mp3]	These data centers are not for storing data. They are producing tokens.
[sound:Nvidia_008.mp3]	Compute equals revenues.
[sound:Nvidia_009.mp3]	Compute equals GDP.
[sound:Nvidia_010.mp3]	There will be no software in the future that's not agentic.
